Year	Month	Date	Anomoly_Celcius
1942	12	1942-12-01	.12
1943	1	1943-01-01	-.01
1943	2	1943-02-01	.18
1943	3	1943-03-01	-.03
1943	4	1943-04-01	.11
1943	5	1943-05-01	.07
1943	6	1943-06-01	-.05
1943	7	1943-07-01	.09
1943	8	1943-08-01	.00
1943	9	1943-09-01	.05
1943	10	1943-10-01	.23
1943	11	1943-11-01	.20
1943	12	1943-12-01	.24
1944	1	1944-01-01	.36
1944	2	1944-02-01	.24
1944	3	1944-03-01	.26
1944	4	1944-04-01	.19
1944	5	1944-05-01	.20
1944	6	1944-06-01	.16
1944	7	1944-07-01	.18
1944	8	1944-08-01	.18
1944	9	1944-09-01	.28
1944	10	1944-10-01	.27
1944	11	1944-11-01	.11
1944	12	1944-12-01	.04
1945	1	1945-01-01	.10
1945	2	1945-02-01	.01
1945	3	1945-03-01	.06
1945	4	1945-04-01	.20
1945	5	1945-05-01	.06
1945	6	1945-06-01	.01
1945	7	1945-07-01	.04
1945	8	1945-08-01	.26
1945	9	1945-09-01	.20
1945	10	1945-10-01	.19
1945	11	1945-11-01	.07
1945	12	1945-12-01	-.07
1946	1	1946-01-01	.15
1946	2	1946-02-01	.03
1946	3	1946-03-01	.01
1946	4	1946-04-01	.06
1946	5	1946-05-01	-.07
1946	6	1946-06-01	-.21
1946	7	1946-07-01	-.12
1946	8	1946-08-01	-.20
1946	9	1946-09-01	-.07
1946	10	1946-10-01	-.07
1946	11	1946-11-01	-.05
1946	12	1946-12-01	-.31
1947	1	1947-01-01	-.06
1947	2	1947-02-01	-.07
1947	3	1947-03-01	.07
1947	4	1947-04-01	.06
1947	5	1947-05-01	-.02
1947	6	1947-06-01	-.02
1947	7	1947-07-01	-.04
1947	8	1947-08-01	-.07
1947	9	1947-09-01	-.12
1947	10	1947-10-01	.07
1947	11	1947-11-01	.03
1947	12	1947-12-01	-.13
1948	1	1948-01-01	.07
1948	2	1948-02-01	-.14
1948	3	1948-03-01	-.24
1948	4	1948-04-01	-.12
1948	5	1948-05-01	.00
1948	6	1948-06-01	-.05
1948	7	1948-07-01	-.11
1948	8	1948-08-01	-.12
1948	9	1948-09-01	-.14
1948	10	1948-10-01	-.05
1948	11	1948-11-01	-.12
1948	12	1948-12-01	-.23
1949	1	1949-01-01	.07
1949	2	1949-02-01	-.14
1949	3	1949-03-01	-.02
1949	4	1949-04-01	-.11
1949	5	1949-05-01	-.10
1949	6	1949-06-01	-.27
1949	7	1949-07-01	-.13
1949	8	1949-08-01	-.13
1949	9	1949-09-01	-.14
1949	10	1949-10-01	-.06
1949	11	1949-11-01	-.10
1949	12	1949-12-01	-.18
1950	1	1950-01-01	-.26
1950	2	1950-02-01	-.27
1950	3	1950-03-01	-.07
1950	4	1950-04-01	-.21
1950	5	1950-05-01	-.11
1950	6	1950-06-01	-.05
1950	7	1950-07-01	-.08
1950	8	1950-08-01	-.16
1950	9	1950-09-01	-.11
1950	10	1950-10-01	-.20
1950	11	1950-11-01	-.34
1950	12	1950-12-01	-.21
1951	1	1951-01-01	-.34
1951	2	1951-02-01	-.41
1951	3	1951-03-01	-.20
1951	4	1951-04-01	-.14
1951	5	1951-05-01	.00
1951	6	1951-06-01	-.06
1951	7	1951-07-01	-.01
1951	8	1951-08-01	.06
1951	9	1951-09-01	.05
1951	10	1951-10-01	.08
1951	11	1951-11-01	-.01
1951	12	1951-12-01	.16
1952	1	1952-01-01	.11
1952	2	1952-02-01	.11
1952	3	1952-03-01	-.08
1952	4	1952-04-01	.03
1952	5	1952-05-01	-.03
1952	6	1952-06-01	-.03
1952	7	1952-07-01	.04
1952	8	1952-08-01	.05
1952	9	1952-09-01	.07
1952	10	1952-10-01	.00
1952	11	1952-11-01	-.13
